.dockerignore	بيحدد الملفات اللي مش هتتنسخ جوه صورة Docker وقت البناء، زي البيانات المحلية وملفات الاختبار، عشان الصورة تفضل صغيرة ونظيفة.
.env.example	نموذج كامل لكل متغيرات البيئة اللي السيرفر بيقراها، مع شرح لكل مجموعة. بتنسخه لملف .env وتملى القيم الحقيقية.
.gitattributes	بيوحّد نهايات السطور بين ويندوز ولينكس عشان الـ migrations والـ checksums ما تتلخبطش.
.github/workflows/ci.yml	خط التكامل المستمر على GitHub: بيبني المشروع ويشغّل الـ lint والاختبارات وفحوص حجم الملفات وعزل مزوّدي الذكاء الاصطناعي مع كل push.
.gitignore	الملفات اللي Git بيتجاهلها: الملفات التنفيذية، مجلد البيانات، ملفات البيئة السرية.
.golangci.yml	إعدادات أداة الـ lint. أهم حاجة فيها قواعد depguard اللي بتمنع أي حزمة في platform أو shared إنها تستورد من modules، يعني حدود المعمارية بيفرضها الـ build نفسه.
.impeccable.md	سياق التصميم البصري للمنصة (الألوان، الخطوط، الإحساس العام) اللي بترجع له أدوات التصميم.
.lighthouserc.json	إعدادات فحص Lighthouse لقياس أداء وجودة الصفحات في المتصفح.
.specify/init-options.json	إعدادات أداة Spec Kit لتخطيط الميزات. أداة مساعدة للتطوير، مش جزء من تشغيل المنصة.
.specify/integration.json	ربط Spec Kit بأداة الوكيل المستخدمة في التطوير.
.specify/integrations/claude.manifest.json	ملف تعريف تكامل Spec Kit مع Claude.
.specify/integrations/speckit.manifest.json	ملف تعريف أوامر Spec Kit نفسها.
.specify/memory/constitution.md	قالب "دستور المشروع" بتاع Spec Kit، لسه بصيغة القالب ومش متملي.
.specify/scripts/powershell/check-prerequisites.ps1	سكربت Spec Kit بيتأكد إن ملفات الميزة موجودة قبل الخطوة الجاية.
.specify/scripts/powershell/common.ps1	دوال مشتركة لسكربتات Spec Kit.
.specify/scripts/powershell/create-new-feature.ps1	بينشئ فرع ومجلد مواصفات لميزة جديدة في Spec Kit.
.specify/scripts/powershell/setup-plan.ps1	بيجهز ملف خطة التنفيذ لميزة في Spec Kit.
.specify/scripts/powershell/setup-tasks.ps1	بيجهز ملف المهام لميزة في Spec Kit.
.specify/templates/checklist-template.md	قالب قائمة مراجعة لـ Spec Kit.
.specify/templates/constitution-template.md	قالب الدستور لـ Spec Kit.
